shot_idx,start_sec,end_sec,duration_sec,vision_caption,vision_camera_from_vlm,vision_emotion,vision_colors,vision_entities,vision_location,vision_lighting,vision_composition,camera_motion,camera_pan_score,camera_tilt_score,camera_zoom_score,audio_top_mood,audio_mood_happy and bright,audio_mood_sad and melancholic,audio_mood_aggressive and intense,audio_mood_romantic and tender,audio_mood_triumphant and epic,audio_mood_calm and peaceful,audio_mood_tense and anxious,audio_mood_dreamy and ethereal,audio_mood_dark and ominous,audio_mood_playful and whimsical,audio_mood_lonely and introspective,audio_mood_powerful and confident,music_avg_rms,music_n_beats,cut_on_beat,n_lyric_segments,lyric_text
10,26.86,29.821,2.961,"A woman with long, wavy dark hair and a feathery",handheld,contemplative,"black, brown, white","woman, hair, earring, hand, wall","This scene is indoor.

Setting description: Dim",Warm golden backlighting,Close-up face shot,zoom-in,-0.26,0.241,-0.5,powerful and confident,0.0459,0.0001,0.0028,0.0006,0.0001,0.0,0.0008,0.0004,0.0013,0.0016,0.0001,0.558,0.2603,9,False,1,You're safe save her the heartbreak. There's a sweet change
11,29.821,31.24,1.419,"A figure with long, dark hair crouches in a",dolly,fearful,"black, yellow, brown","person, cave walls, light, smoke, ground","This scene is indoor.

Setting description:",Dramatic golden backlighting.,narrow framed medium shot,pan-left,-0.166,0.436,1.0,powerful and confident,0.051,0.0002,0.004,0.0005,0.0001,0.0001,0.0023,0.0006,0.0019,0.0021,0.0001,0.4402,0.27938,6,True,2,"You're safe save her the heartbreak. There's a sweet change | No, it's not safe"
12,31.24,32.532,1.292,"A person with long, dark hair crouches in",dolly,anxious,"black, orange, yellow","person, cave walls, light, smoke, ground","This scene is indoor.

Setting description: Narrow, dark",bright golden backlighting,Framed medium full shot,static,0.0,0.0,0.0,powerful and confident,0.056,0.0002,0.0052,0.0004,0.0,0.0001,0.0039,0.0007,0.0024,0.0026,0.0002,0.3224,0.33042,4,True,1,"No, it's not safe"
13,32.532,35.41,2.878,A silhouetted figure with long hair crouches in,dolly,neutral,"black, yellow, orange","person, cave walls, light source, smoke, ground",This scene is **indoor** (inside a cave).,warm backlit smoky cave,silhouetted figure in cave,tilt-up,-0.197,-0.436,0.091,powerful and confident,0.2143,0.0004,0.0038,0.0005,0.0001,0.0001,0.0061,0.0035,0.0027,0.0062,0.0002,0.2299,0.35785,9,True,1,"No, it's not safe"
14,35.41,37.913,2.503,"A woman with long, dark hair looks over her shoulder against",zoom-in,Intense,"black, yellow, brown","woman, hair, fire, sparks","Based on the image, it is difficult to definitively",warm golden rim lighting,close-up face looking back,zoom-in,0.559,-0.621,-0.724,happy and bright,0.3726,0.0006,0.0025,0.0007,0.0001,0.0002,0.0082,0.0062,0.0029,0.0099,0.0002,0.1375,0.33499,6,True,1,"No, it's not safe"
15,37.913,39.915,2.002,"A woman with long, dark wavy hair and an",handheld,sad,"black, brown, beige","woman, hair, earring, clothing, hand, background wall","This scene is indoor.

**Setting description:** Plain",Soft warm golden light,close-up portrait shot,pan-left,-1.0,-0.846,0.001,happy and bright,0.3726,0.0006,0.0025,0.0007,0.0001,0.0002,0.0082,0.0062,0.0029,0.0099,0.0002,0.1375,0.34222,6,False,0,
16,39.915,47.589,7.674,"A woman with long, dark, wet hair looks over her",dolly,sensual intensity,"black, brown, gold","woman, hair, shoulder, face, rocks, particles","Based on the image, this scene appears to","3 words) - ""Golden high-contrast glow"" (",low angle close-up face,pan-right,0.038,0.124,0.328,happy and bright,0.3482,0.0006,0.0028,0.001,0.0002,0.0001,0.0063,0.0048,0.0031,0.005,0.0002,0.3017,0.35583,19,False,0,
17,47.589,49.633,2.044,"A woman with long, dark, voluminous hair looks intensely",handheld,intense,"black, yellow, brown","woman, long hair, bright lights, dark background","This scene is indoor.

Setting description: Dark indoor",dim warm stage lighting,close-up face shot,pan-right,0.0,0.611,0.671,powerful and confident,0.3472,0.001,0.0021,0.0014,0.0002,0.0001,0.005,0.0055,0.0029,0.0007,0.0003,0.425,0.36483,6,False,0,
18,49.633,51.593,1.96,An extreme close-up shows a person with dark,handheld,intense,"black, orange, gold","woman, eye, hair, earring, shoulder,","Based on the image, this scene appears to be **",warm golden glow,extreme close-up face,pan-left,-0.435,-0.476,-0.149,powerful and confident,0.3247,0.0007,0.0022,0.0013,0.0003,0.0001,0.0055,0.005,0.0029,0.0013,0.0002,0.402,0.36489,7,True,0,
19,51.593,56.306,4.713,"A woman with damp, dark hair",static,Ecstatic or passionate.,"black, brown, white","woman, hair, face, teeth, earring, wall, light","Based on the image, this scene is **indoor**.",Soft warm golden glow,Tilted close-up face,tilt-down,0.262,0.6,-0.042,happy and bright,0.3612,0.0006,0.0028,0.0014,0.0003,0.0001,0.0075,0.004,0.0034,0.0019,0.0002,0.3184,0.37912,13,True,0,
20,56.306,61.728,5.422,"A woman with long, dark hair and a",dolly,distressed,"black, yellow, white","woman, dress, cave, rock walls, light source, hair","This scene is indoor.

Setting description: Dimly",dimly lit warm cavern,Medium shot through rocks,static,0.063,-0.151,-0.075,happy and bright,0.3116,0.0008,0.0037,0.0014,0.0003,0.0003,0.0159,0.0036,0.0089,0.0028,0.0003,0.1919,0.33887,13,True,0,
21,61.728,63.272,1.544,A woman with long dark hair and,zoom-in,sultry,"beige, black, brown","woman, gold bikini top, gold bikini bottom, denim jeans","Based on the image, this scene appears to be **indoor",Bright golden glow.,medium shot back view,zoom-out,0.264,0.371,0.5,happy and bright,0.2031,0.0009,0.004,0.0014,0.0002,0.0004,0.0228,0.0037,0.0139,0.0035,0.0005,0.1258,0.3274,6,False,0,
22,63.272,65.732,2.46,A woman with long dark hair and a,The camera is doing a zoom-in.,Seductive,"beige, black, brown","woman, gold bikini top, gold bikini bottom, gold arm","This scene is indoor.

Setting description",Bright warm golden light,Medium shot from behind,static,-0.086,-0.188,-0.208,happy and bright,0.2714,0.0025,0.0035,0.0023,0.0001,0.0005,0.027,0.0068,0.0099,0.0035,0.0004,0.191,0.35154,6,True,0,
23,65.732,67.15,1.418,A person's back and hips are shown covered in shimmering,tracking,neutral,"gold, brown, black","woman, gold glitter, costume, jewelry, skin,","This scene is indoor.

Setting description: Dark, warm",Warm golden atmospheric light,close-up of back torso,tilt-down,0.0,1.0,0.294,happy and bright,0.3397,0.0041,0.0029,0.0032,0.0001,0.0007,0.0312,0.0099,0.0058,0.0035,0.0004,0.2562,0.37293,7,False,0,
24,67.15,70.362,3.212,A person's back and waist are covered in shimmering gold,tracking,neutral,"gold, brown, black","woman, glitter, bikini strap, hair, bikini bottom, dark background","This scene is indoor.

Setting description: Dark",light golden glow (4 words) - Good.,close-up of glittery back,tilt-down,-0.667,0.429,-0.667,happy and bright,0.2996,0.0024,0.0025,0.0023,0.0001,0.0004,0.0278,0.0057,0.0058,0.0069,0.0003,0.1708,0.35806,8,False,0,
25,70.362,71.822,1.46,A silhouetted figure with long hair stands in,static,"sensual, confident","brown, yellow, black","person, wall, square openings, light, room, damaged wall sections","This scene is indoor.

**",Strong golden backlight.,wide shot centered silhouette,zoom-out,0.299,0.099,0.772,happy and bright,0.2596,0.0006,0.002,0.0013,0.0001,0.0002,0.0244,0.0016,0.0059,0.0102,0.0001,0.0854,0.41418,4,True,0,
26,71.822,76.827,5.005,A person stands in silhouette with their arms raised toward,handheld,hopeful,"brown, yellow, black","person, wall, square openings, holes, ceiling, light","This is an indoor scene.

Setting description: **Dim",Dramatic backlit golden light,low-angle silhouette medium shot,zoom-in,0.038,0.54,-0.281,happy and bright,0.3366,0.0005,0.0016,0.001,0.0001,0.0001,0.013,0.0026,0.0038,0.0076,0.0001,0.1606,0.3312,12,True,0,
27,76.827,79.788,2.961,"A woman with long, dark, wavy hair poses in",handheld,contemplative,"black, brown, white","woman, hair, face, shoulder, hand, background wall, light","This scene is indoor.

**Setting",warm golden sunlight backlighting,Close-up portrait shot,zoom-out,-0.255,-0.128,0.003,happy and bright,0.4135,0.0004,0.0012,0.0006,0.0001,0.0001,0.0017,0.0036,0.0017,0.005,0.0001,0.2359,0.29054,8,True,0,
28,79.788,81.665,1.877,"A silhouetted woman strikes a dynamic, arched",The camera is performing a **pan**,Based on the dynamic and expressive pose of,"yellow, brown, black","woman, wall, square openings, light, hole, pants","This is an indoor scene.

Setting description:",Dramatic golden backlighting,Wide shot backlit silhouette,zoom-out,-0.389,0.207,0.192,happy and bright,0.3066,0.0004,0.0033,0.0008,0.0002,0.0001,0.0036,0.0066,0.0031,0.0033,0.0001,0.2434,0.31919,6,False,0,
29,81.665,84.084,2.419,"A young woman with dark, wavy hair and a slit in",static,sad,"black, brown, beige","woman, hair, earring, wall, lights","This scene is indoor.

Setting description: Dim",Warm golden studio lighting,close-up portrait shot,tilt-down,-0.458,-0.003,-0.85,powerful and confident,0.1997,0.0004,0.0053,0.0011,0.0003,0.0,0.0055,0.0096,0.0045,0.0017,0.0001,0.251,0.29479,8,True,0,
30,84.084,86.67,2.586,A woman with voluminous dark hair and an intense gaze stands framed,dolly,intense,"beige, black, brown","woman, long dark hair, beige dress, textured walls, doorway","This scene is outdoor.

Setting description: Rustic stone",soft warm golden glow,medium shot framed walls,tilt-down,-0.587,1.0,0.803,powerful and confident,0.1367,0.0003,0.0037,0.0009,0.0002,0.0,0.0048,0.0066,0.0034,0.0017,0.0001,0.2346,0.26598,7,True,0,
31,86.67,88.046,1.376,"A woman with long, dark, textured hair and",dolly,intense or fierce,"black, brown, gold","woman, long hair, light-colored top, rocky walls, warm light","This scene is indoor.

Setting description",dim warm dramatic lighting,medium close-up portrait,pan-right,0.0,0.146,-0.342,powerful and confident,0.0736,0.0003,0.0021,0.0008,0.0002,0.0,0.0041,0.0036,0.0023,0.0018,0.0001,0.2181,0.28166,6,False,0,
32,88.046,94.845,6.799,"A woman with long, dark hair and braided accents looks over her shoulder in a dimly lit, rocky setting. Warm, golden light illuminates her face and the textured wall behind her, while the rest of the scene remains in deep shadow.",dolly,contemplative,"black, yellow, brown","woman, rock wall, hair, golden light, shadow","This scene is indoor.

Setting description:",dim warm golden light,close-up over-shoulder shot,pan-left,-0.191,-0.322,-0.253,powerful and confident,0.117,0.0003,0.004,0.0006,0.0001,0.0001,0.0036,0.003,0.0029,0.0082,0.0002,0.2332,0.32276,15,False,0,
33,94.845,96.722,1.877,"A woman with long, dark wavy hair",static,joyful,"black, brown, tan","woman, hair, face, earring, shoulder, background","This scene is indoor.

**Setting description:**",warm golden glow,close-up face and shoulder,pan-right,-0.182,-0.221,-0.19,powerful and confident,0.2286,0.0004,0.0045,0.0005,0.0001,0.0001,0.0037,0.0025,0.0028,0.0152,0.0003,0.2353,0.33043,6,True,0,
34,96.722,99.725,3.003,"A woman with long, dark, wavy hair and a",handheld,joyful,"black, brown, tan","woman, hair, earring, teeth, eyes, eyebrow, shoulder, background","This scene is indoor.

**Setting description",Soft warm golden glow,close-up face shot,tilt-down,-0.152,0.446,0.337,happy and bright,0.2969,0.0004,0.003,0.0007,0.0001,0.0001,0.0043,0.0026,0.0022,0.0159,0.0002,0.2222,0.34735,9,True,0,
35,99.725,101.768,2.043,"A woman with long, dark hair and an off-the",handheld,seductive,"beige, black, white","woman, dress, wall, window, hair","Based on the image, the scene is **indoor","Warm, golden, high-contrast",medium shot low angle,tilt-up,0.0,0.0,-0.752,happy and bright,0.4078,0.0003,0.0028,0.0009,0.0004,0.0001,0.0071,0.0021,0.0035,0.0212,0.0002,0.1629,0.35201,6,True,0,
36,101.768,106.648,4.88,"This blurry, warm-toned image",handheld,none (no people),"brown, white, beige","Light patterns, wall","Based on the image, this scene is **",soft warm window light,Blurry close-up shot,pan-left,-0.677,0.179,0.303,happy and bright,0.4167,0.0005,0.0032,0.001,0.0004,0.0001,0.0077,0.005,0.0043,0.0145,0.0003,0.1804,0.35246,13,False,0,
37,106.648,108.358,1.71,"A woman with long blonde hair, wearing a gold bikini top",zoom-in,Sultry/Confident,"beige, white, gold","woman, blonde hair, bikini top, fringed pants, wall, crack, light source","This scene is indoor.

Setting description: Rustic, minimalist",Soft warm golden light,medium shot leaning wall,pan-right,0.0,0.525,0.454,happy and bright,0.3147,0.0007,0.0039,0.0009,0.0002,0.0001,0.0056,0.0083,0.0039,0.0025,0.0005,0.2571,0.35758,6,True,0,
38,108.358,111.695,3.337,"A woman with long, dark hair is captured in motion",handheld,joyful,"white, black, blue","woman, bikini top, jeans, long hair, wall, shadow","Based on the image, this scene is **indoor**.",bright direct sunlight,medium side profile shot,static,-0.333,0.333,-0.102,powerful and confident,0.2768,0.0006,0.0027,0.0008,0.0002,0.0001,0.006,0.0067,0.0028,0.0019,0.0003,0.3006,0.36895,9,False,0,
39,111.695,113.322,1.627,"A woman with long, dark hair and side braids poses",handheld,sultry intent,"white, black, brown","woman, long black hair, yellow bikini top, jeans, wall, shadows","This scene appears to be outdoor.

Setting description: Bright",Bright direct natural light,medium shot waist up,static,0.027,-0.5,0.203,powerful and confident,0.239,0.0004,0.0016,0.0006,0.0001,0.0001,0.0064,0.0052,0.0018,0.0014,0.0002,0.344,0.399,7,False,0,
40,113.322,121.58,8.258,"A woman with long, dark hair and a slit",handheld,seductive,"black, brown, tan","woman, hair, hand, nails, earring, shoulder, background wall","Based on the image, the scene is",warm golden rim light,close-up face portrait,tilt-down,-0.197,0.296,-0.119,powerful and confident,0.2159,0.0006,0.0022,0.001,0.0001,0.0003,0.0104,0.0032,0.0065,0.0039,0.0003,0.266,0.34533,19,True,0,
41,121.58,122.873,1.293,A silhouetted figure stands with their back to the,The camera is doing a **zoom-in**.,contemplative,"brown, yellow, white","person, wall, square openings, light, ceiling,","This scene is indoor.

Setting description: Dimly lit",Dramatic backlit golden glow,low-angle centered silhouette shot,tilt-down,0.006,1.0,0.433,happy and bright,0.2623,0.001,0.0018,0.0012,0.0001,0.0006,0.0162,0.0017,0.0126,0.0076,0.0004,0.2206,0.36581,4,False,0,
42,122.873,130.839,7.966,"A woman with long, dark hair and",pan,contemplative,"beige, white, black","woman, walls, doorway, sand, light","This scene is indoor.

Setting description",Bright warm golden light,wide medium full shot,static,-0.142,-0.018,0.077,powerful and confident,0.2621,0.0016,0.0029,0.0016,0.0001,0.0004,0.015,0.004,0.0068,0.0043,0.0004,0.387,0.35772,19,False,0,
43,130.839,133.008,2.169,"Two women, one with long blonde waves and the other",handheld,confident,"gold, brown, black","two women, blonde hair, dark hair, gold bikini tops, necklace, glowing background","This scene is indoor.

**Setting description",warm golden backlighting,Close-up of two women,pan-right,0.083,-0.346,-0.091,powerful and confident,0.1616,0.0007,0.0052,0.0009,0.0001,0.0002,0.0069,0.0041,0.0029,0.0023,0.0003,0.5671,0.34535,8,True,0,
44,133.008,135.385,2.377,"A woman with long, dark hair and flowing, light",tracking,intense,"brown, white, black","woman, long hair, light-colored clothing, textured wall, bright doorway, sandy floor, light and shadow","This scene is indoor.

Setting description: **Rustic sandy",bright warm backlight,medium full side shot,tilt-down,-0.147,0.221,0.095,powerful and confident,0.182,0.0008,0.0037,0.001,0.0001,0.0001,0.0057,0.0035,0.0035,0.0021,0.0003,0.4302,0.31497,6,False,0,
45,135.385,138.096,2.711,"A woman with long, dark hair dances",pan,passionate,"beige, white, black","woman, dress, wall, doorway, sand","This scene is **indoor**.

Setting description:",Bright warm desert light,Medium shot of dancer,static,0.0,0.0,0.0,powerful and confident,0.2025,0.0009,0.0023,0.0011,0.0001,0.0001,0.0044,0.0029,0.004,0.0019,0.0002,0.2932,0.28099,8,True,0,
46,138.096,139.431,1.335,"A woman with long, dark hair and flowing,",handheld,intense focus,"beige, white, black","woman, dress, long hair, walls, doorway, sand","This scene is indoor.

**Setting description:** Sandy",Bright warm backlight,Medium wide profile shot,static,0.0,0.0,0.0,powerful and confident,0.2025,0.0009,0.0023,0.0011,0.0001,0.0001,0.0044,0.0029,0.004,0.0019,0.0002,0.2932,0.27712,4,False,0,
47,139.431,143.101,3.67,Two women in bikini tops and low-rise bottoms pose,handheld,contemplative,"white, yellow, black","woman with blonde hair, woman with dark hair, bikini","This scene is outdoor.

**Setting description:** Sunlit",bright warm backlight glow,framed medium two shot,static,-0.228,-0.136,0.107,powerful and confident,0.2828,0.0006,0.002,0.0012,0.0001,0.0001,0.0034,0.0031,0.0035,0.0041,0.0002,0.3279,0.31083,11,False,0,
48,143.101,144.478,1.377,Draft 1:* Two women are leaning against walls,zoom-in,Based on the body language and downcast expressions of the,"white, tan, black","two women, arm cuff, bikini top, walls, bright","Based on the image, this scene is **indoor**.",bright golden backlight,medium shot two women,tilt-up,1.0,-1.0,0.179,happy and bright,0.3631,0.0004,0.0017,0.0013,0.0001,0.0001,0.0025,0.0033,0.003,0.0063,0.0001,0.3625,0.26304,5,True,0,
49,144.478,147.522,3.044,"A blonde woman with long, wavy hair and a white",zoom-in,"seductive, fierce","black, white, blue","woman, blonde hair, white dress, waterfall, rocks, mist","This scene is outdoor.

Setting description:",bright ethereal backlighting,Medium shot centered subject,tilt-down,-0.344,0.499,0.199,powerful and confident,0.3545,0.0003,0.0018,0.0011,0.0001,0.0001,0.0019,0.0024,0.0019,0.0054,0.0001,0.3592,0.29639,8,True,0,
50,147.522,149.775,2.253,"A blonde woman with long, wavy hair",zoom-in,sensual,"white, black, tan","woman, blonde hair, white garment, arm band, waterfall","This scene is outdoor.

Setting description: Misty waterfall inside",bright backlit glow,medium full shot woman,tilt-up,-1.0,0.0,0.073,powerful and confident,0.3458,0.0002,0.0019,0.0008,0.0001,0.0001,0.0013,0.0015,0.0008,0.0045,0.0001,0.3559,0.31759,6,False,0,
51,149.775,154.488,4.713,"A woman with long, wavy blonde hair and a white, plunging-neckline outfit stands in front of a misty waterfall. She is framed by dark, craggy rock walls",zoom-in,intense,"white, black, blonde","woman, long blonde hair, white dress, waterfall, rocks, mist","This scene is outdoor.

Setting description:",Bright ethereal backlighting,Centered medium shot portrait,tilt-down,-0.792,0.359,0.33,powerful and confident,0.2102,0.0003,0.0056,0.0007,0.0001,0.0001,0.0028,0.0016,0.0019,0.0035,0.0002,0.3415,0.35512,12,True,0,
52,154.488,155.864,1.376,A woman with long hair is dramatically backlit in a,handheld,anguished,"black, white, brown","woman, long hair, white dress, rocks, cave,","This scene is **outdoor**.

**Setting",Dramatic cool backlighting,medium shot side profile,pan-left,-0.631,0.136,0.517,powerful and confident,0.2362,0.0006,0.0055,0.0008,0.0001,0.0002,0.0058,0.0076,0.0025,0.0047,0.0003,0.2515,0.33038,4,True,0,
53,155.864,159.743,3.879,A woman with long blonde hair and a white draped,tilt,In pain/Suffering*: Also fits.,"black, white, blue","woman, blonde hair, white cloth, mist, light beam, rock wall","This scene is indoor.

Setting description:",Dramatic backlit mist,low-key medium profile shot,pan-right,0.576,0.222,-0.295,happy and bright,0.3978,0.0008,0.0016,0.001,0.0002,0.0001,0.0074,0.0135,0.002,0.0067,0.0003,0.176,0.35423,11,False,0,
54,159.743,161.078,1.335,"A woman with long, flowing blonde hair",handheld,joyful,"white, black, brown","person, long blonde hair, white outfit, bright light, smoke, dark background","This scene is indoor.

Setting description",bright dramatic backlighting,Backlit medium side shot,tilt-down,0.0,0.0,0.053,happy and bright,0.3385,0.0005,0.0014,0.0008,0.0002,0.0001,0.0044,0.0072,0.0017,0.0056,0.0002,0.3344,0.37018,6,True,0,
55,161.078,162.579,1.501,"A winged, angelic figure with long hair leans against",pan,distressed,"white, black, brown","person, wings, rock wall, light, smoke, clothing","This scene is indoor.

Setting description: Dark",Bright ethereal backlighting,backlit medium profile shot,tilt-up,-0.051,-1.0,-0.383,powerful and confident,0.2791,0.0001,0.0013,0.0006,0.0002,0.0001,0.0015,0.0009,0.0014,0.0044,0.0001,0.4927,0.40356,4,False,0,
56,162.579,172.047,9.468,A woman with long blonde hair is silhou,zoom-in,intense,"white, black, gray","woman, long hair, white clothing, bright light, smoke, dark background","This scene is **indoor**.

Setting",bright white backlighting,backlit medium shot,zoom-out,-0.022,-0.141,0.01,powerful and confident,0.296,0.0005,0.0028,0.0011,0.0003,0.0001,0.0053,0.0029,0.0025,0.0032,0.0002,0.4466,0.37768,23,False,0,
57,172.047,173.423,1.376,"A woman with long, wavy blonde hair and dark eye makeup",zoom-in,serious intensity,"black, blonde, white","woman, blonde hair, white top, dark background","This scene is indoor.

**Setting description:** Dark",Bright cinematic studio lighting,Close-up portrait shot,pan-left,-0.832,-0.275,-0.798,powerful and confident,0.2819,0.0007,0.0018,0.001,0.0004,0.0002,0.0091,0.0053,0.0028,0.0015,0.0002,0.4735,0.3555,4,True,0,
58,173.423,174.925,1.502,"A woman with long, flowing blonde hair stands in a dark",static,contemplative,"black, white, blue","woman, waterfall, rocks, mist, white garment, long hair","This scene is outdoor.

Setting",Bright ethereal backlighting,backlit medium shot silhouette,pan-right,1.0,-0.447,-0.637,powerful and confident,0.2819,0.0007,0.0018,0.001,0.0004,0.0002,0.0091,0.0053,0.0028,0.0015,0.0002,0.4735,0.37824,4,False,0,
59,174.925,177.594,2.669,"Two women, one with long blonde hair and the",static,"sensual, intense","tan, brown, black","blonde woman, dark-haired woman, sand, dry branches, lattice wall, bikini tops, pants, jewelry","This scene is indoor.

Setting description",warm golden interior glow,Medium shot of two women.,tilt-down,0.108,0.131,0.012,powerful and confident,0.3203,0.0007,0.0039,0.0011,0.0003,0.0002,0.0083,0.0046,0.0042,0.0021,0.0002,0.3423,0.36323,9,False,0,
60,177.594,179.596,2.002,"A woman with long, wavy blonde hair stands in a",zoom-in,sensual,"black, white, brown","woman, long blonde hair, white fabric, rock wall, mist, bright light","This scene is outdoor.

Setting description: Dark",Bright ethereal backlighting,Medium shot from behind,zoom-in,-0.408,0.268,0.117,happy and bright,0.3587,0.0006,0.0059,0.0012,0.0001,0.0002,0.0076,0.0038,0.0056,0.0026,0.0002,0.211,0.35964,6,False,0,
61,179.596,181.973,2.377,"A person with long, flowing blonde hair and",handheld,joyful,"white, black, brown","person, long blonde hair, white costume, feathers, bright light, dark background","This scene is outdoor.

Setting description: Misty",bright ethereal backlighting,medium shot back view,pan-right,0.451,-0.585,-0.776,happy and bright,0.2824,0.0014,0.0038,0.0014,0.0001,0.0007,0.0164,0.0029,0.01,0.0031,0.0004,0.2307,0.33456,7,False,0,
62,181.973,183.392,1.419,"In a dimly lit, rocky setting, a person with long",pan,fearful,"black, white, tan","woman, blonde hair, arm, hand, rock wall,","Based on the image, this scene",Dramatic cool backlighting,"Accurate.
    *   ""Medium close-up profile",pan-left,0.0,0.746,0.844,powerful and confident,0.2061,0.0022,0.0017,0.0016,0.0,0.0013,0.0252,0.0019,0.0144,0.0035,0.0006,0.2504,0.34903,7,True,0,
