shot_idx,start_sec,end_sec,duration_sec,mid_frame,caption,camera,emotion,colors,entities,location,lighting,composition
10,26.86,29.821,2.961,data/processed/frames/frame_00029.jpg,"A woman with long, wavy dark hair and a feathery",handheld,contemplative,"black, brown, white","woman, hair, earring, hand, wall","This scene is indoor.

Setting description: Dim",Warm golden backlighting,Close-up face shot
11,29.821,31.24,1.418,data/processed/frames/frame_00031.jpg,"A figure with long, dark hair crouches in a",dolly,fearful,"black, yellow, brown","person, cave walls, light, smoke, ground","This scene is indoor.

Setting description:",Dramatic golden backlighting.,narrow framed medium shot
12,31.24,32.532,1.293,data/processed/frames/frame_00032.jpg,"A person with long, dark hair crouches in",dolly,anxious,"black, orange, yellow","person, cave walls, light, smoke, ground","This scene is indoor.

Setting description: Narrow, dark",bright golden backlighting,Framed medium full shot
13,32.532,35.41,2.878,data/processed/frames/frame_00034.jpg,A silhouetted figure with long hair crouches in,dolly,neutral,"black, yellow, orange","person, cave walls, light source, smoke, ground",This scene is **indoor** (inside a cave).,warm backlit smoky cave,silhouetted figure in cave
14,35.41,37.913,2.502,data/processed/frames/frame_00037.jpg,"A woman with long, dark hair looks over her shoulder against",zoom-in,Intense,"black, yellow, brown","woman, hair, fire, sparks","Based on the image, it is difficult to definitively",warm golden rim lighting,close-up face looking back
15,37.913,39.915,2.002,data/processed/frames/frame_00039.jpg,"A woman with long, dark wavy hair and an",handheld,sad,"black, brown, beige","woman, hair, earring, clothing, hand, background wall","This scene is indoor.

**Setting description:** Plain",Soft warm golden light,close-up portrait shot
16,39.915,47.589,7.674,data/processed/frames/frame_00044.jpg,"A woman with long, dark, wet hair looks over her",dolly,sensual intensity,"black, brown, gold","woman, hair, shoulder, face, rocks, particles","Based on the image, this scene appears to","3 words) - ""Golden high-contrast glow"" (",low angle close-up face
17,47.589,49.633,2.044,data/processed/frames/frame_00049.jpg,"A woman with long, dark, voluminous hair looks intensely",handheld,intense,"black, yellow, brown","woman, long hair, bright lights, dark background","This scene is indoor.

Setting description: Dark indoor",dim warm stage lighting,close-up face shot
18,49.633,51.593,1.96,data/processed/frames/frame_00051.jpg,An extreme close-up shows a person with dark,handheld,intense,"black, orange, gold","woman, eye, hair, earring, shoulder,","Based on the image, this scene appears to be **",warm golden glow,extreme close-up face
19,51.593,56.306,4.713,data/processed/frames/frame_00054.jpg,"A woman with damp, dark hair",static,Ecstatic or passionate.,"black, brown, white","woman, hair, face, teeth, earring, wall, light","Based on the image, this scene is **indoor**.",Soft warm golden glow,Tilted close-up face
20,56.306,61.728,5.422,data/processed/frames/frame_00060.jpg,"A woman with long, dark hair and a",dolly,distressed,"black, yellow, white","woman, dress, cave, rock walls, light source, hair","This scene is indoor.

Setting description: Dimly",dimly lit warm cavern,Medium shot through rocks
21,61.728,63.272,1.543,data/processed/frames/frame_00063.jpg,A woman with long dark hair and,zoom-in,sultry,"beige, black, brown","woman, gold bikini top, gold bikini bottom, denim jeans","Based on the image, this scene appears to be **indoor",Bright golden glow.,medium shot back view
22,63.272,65.732,2.461,data/processed/frames/frame_00065.jpg,A woman with long dark hair and a,The camera is doing a zoom-in.,Seductive,"beige, black, brown","woman, gold bikini top, gold bikini bottom, gold arm","This scene is indoor.

Setting description",Bright warm golden light,Medium shot from behind
23,65.732,67.15,1.418,data/processed/frames/frame_00067.jpg,A person's back and hips are shown covered in shimmering,tracking,neutral,"gold, brown, black","woman, gold glitter, costume, jewelry, skin,","This scene is indoor.

Setting description: Dark, warm",Warm golden atmospheric light,close-up of back torso
24,67.15,70.362,3.212,data/processed/frames/frame_00069.jpg,A person's back and waist are covered in shimmering gold,tracking,neutral,"gold, brown, black","woman, glitter, bikini strap, hair, bikini bottom, dark background","This scene is indoor.

Setting description: Dark",light golden glow (4 words) - Good.,close-up of glittery back
25,70.362,71.822,1.46,data/processed/frames/frame_00072.jpg,A silhouetted figure with long hair stands in,static,"sensual, confident","brown, yellow, black","person, wall, square openings, light, room, damaged wall sections","This scene is indoor.

**",Strong golden backlight.,wide shot centered silhouette
26,71.822,76.827,5.005,data/processed/frames/frame_00075.jpg,A person stands in silhouette with their arms raised toward,handheld,hopeful,"brown, yellow, black","person, wall, square openings, holes, ceiling, light","This is an indoor scene.

Setting description: **Dim",Dramatic backlit golden light,low-angle silhouette medium shot
27,76.827,79.788,2.961,data/processed/frames/frame_00079.jpg,"A woman with long, dark, wavy hair poses in",handheld,contemplative,"black, brown, white","woman, hair, face, shoulder, hand, background wall, light","This scene is indoor.

**Setting",warm golden sunlight backlighting,Close-up portrait shot
28,79.788,81.665,1.877,data/processed/frames/frame_00081.jpg,"A silhouetted woman strikes a dynamic, arched",The camera is performing a **pan**,Based on the dynamic and expressive pose of,"yellow, brown, black","woman, wall, square openings, light, hole, pants","This is an indoor scene.

Setting description:",Dramatic golden backlighting,Wide shot backlit silhouette
29,81.665,84.084,2.419,data/processed/frames/frame_00083.jpg,"A young woman with dark, wavy hair and a slit in",static,sad,"black, brown, beige","woman, hair, earring, wall, lights","This scene is indoor.

Setting description: Dim",Warm golden studio lighting,close-up portrait shot
30,84.084,86.67,2.586,data/processed/frames/frame_00086.jpg,A woman with voluminous dark hair and an intense gaze stands framed,dolly,intense,"beige, black, brown","woman, long dark hair, beige dress, textured walls, doorway","This scene is outdoor.

Setting description: Rustic stone",soft warm golden glow,medium shot framed walls
31,86.67,88.046,1.376,data/processed/frames/frame_00088.jpg,"A woman with long, dark, textured hair and",dolly,intense or fierce,"black, brown, gold","woman, long hair, light-colored top, rocky walls, warm light","This scene is indoor.

Setting description",dim warm dramatic lighting,medium close-up portrait
32,88.046,94.845,6.798,data/processed/frames/frame_00092.jpg,"A woman with long, dark hair and braided accents looks over her shoulder in a dimly lit, rocky setting. Warm, golden light illuminates her face and the textured wall behind her, while the rest of the scene remains in deep shadow.",dolly,contemplative,"black, yellow, brown","woman, rock wall, hair, golden light, shadow","This scene is indoor.

Setting description:",dim warm golden light,close-up over-shoulder shot
33,94.845,96.722,1.877,data/processed/frames/frame_00096.jpg,"A woman with long, dark wavy hair",static,joyful,"black, brown, tan","woman, hair, face, earring, shoulder, background","This scene is indoor.

**Setting description:**",warm golden glow,close-up face and shoulder
34,96.722,99.725,3.003,data/processed/frames/frame_00099.jpg,"A woman with long, dark, wavy hair and a",handheld,joyful,"black, brown, tan","woman, hair, earring, teeth, eyes, eyebrow, shoulder, background","This scene is indoor.

**Setting description",Soft warm golden glow,close-up face shot
35,99.725,101.768,2.044,data/processed/frames/frame_00101.jpg,"A woman with long, dark hair and an off-the",handheld,seductive,"beige, black, white","woman, dress, wall, window, hair","Based on the image, the scene is **indoor","Warm, golden, high-contrast",medium shot low angle
36,101.768,106.648,4.88,data/processed/frames/frame_00105.jpg,"This blurry, warm-toned image",handheld,none (no people),"brown, white, beige","Light patterns, wall","Based on the image, this scene is **",soft warm window light,Blurry close-up shot
37,106.648,108.358,1.71,data/processed/frames/frame_00108.jpg,"A woman with long blonde hair, wearing a gold bikini top",zoom-in,Sultry/Confident,"beige, white, gold","woman, blonde hair, bikini top, fringed pants, wall, crack, light source","This scene is indoor.

Setting description: Rustic, minimalist",Soft warm golden light,medium shot leaning wall
38,108.358,111.695,3.337,data/processed/frames/frame_00111.jpg,"A woman with long, dark hair is captured in motion",handheld,joyful,"white, black, blue","woman, bikini top, jeans, long hair, wall, shadow","Based on the image, this scene is **indoor**.",bright direct sunlight,medium side profile shot
39,111.695,113.322,1.627,data/processed/frames/frame_00113.jpg,"A woman with long, dark hair and side braids poses",handheld,sultry intent,"white, black, brown","woman, long black hair, yellow bikini top, jeans, wall, shadows","This scene appears to be outdoor.

Setting description: Bright",Bright direct natural light,medium shot waist up
40,113.322,121.58,8.258,data/processed/frames/frame_00118.jpg,"A woman with long, dark hair and a slit",handheld,seductive,"black, brown, tan","woman, hair, hand, nails, earring, shoulder, background wall","Based on the image, the scene is",warm golden rim light,close-up face portrait
41,121.58,122.873,1.293,data/processed/frames/frame_00123.jpg,A silhouetted figure stands with their back to the,The camera is doing a **zoom-in**.,contemplative,"brown, yellow, white","person, wall, square openings, light, ceiling,","This scene is indoor.

Setting description: Dimly lit",Dramatic backlit golden glow,low-angle centered silhouette shot
42,122.873,130.839,7.966,data/processed/frames/frame_00127.jpg,"A woman with long, dark hair and",pan,contemplative,"beige, white, black","woman, walls, doorway, sand, light","This scene is indoor.

Setting description",Bright warm golden light,wide medium full shot
43,130.839,133.008,2.169,data/processed/frames/frame_00132.jpg,"Two women, one with long blonde waves and the other",handheld,confident,"gold, brown, black","two women, blonde hair, dark hair, gold bikini tops, necklace, glowing background","This scene is indoor.

**Setting description",warm golden backlighting,Close-up of two women
44,133.008,135.385,2.377,data/processed/frames/frame_00135.jpg,"A woman with long, dark hair and flowing, light",tracking,intense,"brown, white, black","woman, long hair, light-colored clothing, textured wall, bright doorway, sandy floor, light and shadow","This scene is indoor.

Setting description: **Rustic sandy",bright warm backlight,medium full side shot
45,135.385,138.096,2.711,data/processed/frames/frame_00137.jpg,"A woman with long, dark hair dances",pan,passionate,"beige, white, black","woman, dress, wall, doorway, sand","This scene is **indoor**.

Setting description:",Bright warm desert light,Medium shot of dancer
46,138.096,139.431,1.335,data/processed/frames/frame_00139.jpg,"A woman with long, dark hair and flowing,",handheld,intense focus,"beige, white, black","woman, dress, long hair, walls, doorway, sand","This scene is indoor.

**Setting description:** Sandy",Bright warm backlight,Medium wide profile shot
47,139.431,143.101,3.67,data/processed/frames/frame_00142.jpg,Two women in bikini tops and low-rise bottoms pose,handheld,contemplative,"white, yellow, black","woman with blonde hair, woman with dark hair, bikini","This scene is outdoor.

**Setting description:** Sunlit",bright warm backlight glow,framed medium two shot
48,143.101,144.478,1.376,data/processed/frames/frame_00144.jpg,Draft 1:* Two women are leaning against walls,zoom-in,Based on the body language and downcast expressions of the,"white, tan, black","two women, arm cuff, bikini top, walls, bright","Based on the image, this scene is **indoor**.",bright golden backlight,medium shot two women
49,144.478,147.522,3.045,data/processed/frames/frame_00147.jpg,"A blonde woman with long, wavy hair and a white",zoom-in,"seductive, fierce","black, white, blue","woman, blonde hair, white dress, waterfall, rocks, mist","This scene is outdoor.

Setting description:",bright ethereal backlighting,Medium shot centered subject
50,147.522,149.775,2.252,data/processed/frames/frame_00149.jpg,"A blonde woman with long, wavy hair",zoom-in,sensual,"white, black, tan","woman, blonde hair, white garment, arm band, waterfall","This scene is outdoor.

Setting description: Misty waterfall inside",bright backlit glow,medium full shot woman
51,149.775,154.488,4.713,data/processed/frames/frame_00153.jpg,"A woman with long, wavy blonde hair and a white, plunging-neckline outfit stands in front of a misty waterfall. She is framed by dark, craggy rock walls",zoom-in,intense,"white, black, blonde","woman, long blonde hair, white dress, waterfall, rocks, mist","This scene is outdoor.

Setting description:",Bright ethereal backlighting,Centered medium shot portrait
52,154.488,155.864,1.376,data/processed/frames/frame_00156.jpg,A woman with long hair is dramatically backlit in a,handheld,anguished,"black, white, brown","woman, long hair, white dress, rocks, cave,","This scene is **outdoor**.

**Setting",Dramatic cool backlighting,medium shot side profile
53,155.864,159.743,3.879,data/processed/frames/frame_00158.jpg,A woman with long blonde hair and a white draped,tilt,In pain/Suffering*: Also fits.,"black, white, blue","woman, blonde hair, white cloth, mist, light beam, rock wall","This scene is indoor.

Setting description:",Dramatic backlit mist,low-key medium profile shot
54,159.743,161.078,1.335,data/processed/frames/frame_00161.jpg,"A woman with long, flowing blonde hair",handheld,joyful,"white, black, brown","person, long blonde hair, white outfit, bright light, smoke, dark background","This scene is indoor.

Setting description",bright dramatic backlighting,Backlit medium side shot
55,161.078,162.579,1.501,data/processed/frames/frame_00162.jpg,"A winged, angelic figure with long hair leans against",pan,distressed,"white, black, brown","person, wings, rock wall, light, smoke, clothing","This scene is indoor.

Setting description: Dark",Bright ethereal backlighting,backlit medium profile shot
56,162.579,172.047,9.468,data/processed/frames/frame_00168.jpg,A woman with long blonde hair is silhou,zoom-in,intense,"white, black, gray","woman, long hair, white clothing, bright light, smoke, dark background","This scene is **indoor**.

Setting",bright white backlighting,backlit medium shot
57,172.047,173.423,1.376,data/processed/frames/frame_00173.jpg,"A woman with long, wavy blonde hair and dark eye makeup",zoom-in,serious intensity,"black, blonde, white","woman, blonde hair, white top, dark background","This scene is indoor.

**Setting description:** Dark",Bright cinematic studio lighting,Close-up portrait shot
58,173.423,174.925,1.501,data/processed/frames/frame_00175.jpg,"A woman with long, flowing blonde hair stands in a dark",static,contemplative,"black, white, blue","woman, waterfall, rocks, mist, white garment, long hair","This scene is outdoor.

Setting",Bright ethereal backlighting,backlit medium shot silhouette
59,174.925,177.594,2.669,data/processed/frames/frame_00177.jpg,"Two women, one with long blonde hair and the",static,"sensual, intense","tan, brown, black","blonde woman, dark-haired woman, sand, dry branches, lattice wall, bikini tops, pants, jewelry","This scene is indoor.

Setting description",warm golden interior glow,Medium shot of two women.
60,177.594,179.596,2.002,data/processed/frames/frame_00179.jpg,"A woman with long, wavy blonde hair stands in a",zoom-in,sensual,"black, white, brown","woman, long blonde hair, white fabric, rock wall, mist, bright light","This scene is outdoor.

Setting description: Dark",Bright ethereal backlighting,Medium shot from behind
61,179.596,181.973,2.377,data/processed/frames/frame_00181.jpg,"A person with long, flowing blonde hair and",handheld,joyful,"white, black, brown","person, long blonde hair, white costume, feathers, bright light, dark background","This scene is outdoor.

Setting description: Misty",bright ethereal backlighting,medium shot back view
62,181.973,183.392,1.418,data/processed/frames/frame_00183.jpg,"In a dimly lit, rocky setting, a person with long",pan,fearful,"black, white, tan","woman, blonde hair, arm, hand, rock wall,","Based on the image, this scene",Dramatic cool backlighting,"Accurate.
    *   ""Medium close-up profile"
63,183.392,185.519,2.127,data/processed/frames/frame_00185.jpg,"A woman with long, wavy blonde hair and dark eye makeup",zoom-in,neutral,"black, white, blonde","woman, blonde hair, face, eyes, lips, white top, smoke, background","This scene is indoor.

**Setting",bright backlit glow,close-up portrait shot
64,185.519,189.981,4.463,data/processed/frames/frame_00188.jpg,"A woman with long, backlit blonde hair poses in a revealing",zoom-in,confident,"white, black, blue","woman, white dress, waterfall, rocks, earrings, arm band","This scene is outdoor.

Setting description: Waterfall against",Bright backlit ethereal glow,Medium shot centered woman
65,189.981,191.817,1.835,data/processed/frames/frame_00191.jpg,"A person with long, flowing blonde hair stands in a dark",pan,joyful,"white, black, brown","person, long hair, white fabric, rocks, cave, light, mist","This scene is indoor.

Setting description: Dark",bright cool backlighting (3 words) - Good.,medium shot back view
66,191.817,198.949,7.132,data/processed/frames/frame_00196.jpg,"A blonde woman with long, wavy hair stands in a dark",zoom-in,confident,"white, black, blonde","woman, blonde hair, white dress, rocks, mist, light source","This scene is outdoor.

Setting",Bright ethereal backlighting mist,"medium shot, centered subject"
67,198.949,200.492,1.543,data/processed/frames/frame_00200.jpg,"A woman with long, wavy blonde hair and a white",zoom-in,seductive,"black, blonde, white","woman, blonde hair, white dress, smoke, dark background","This scene is indoor.

Setting description","Bright, hazy backlighting.",medium close-up portrait
68,200.492,204.037,3.545,data/processed/frames/frame_00203.jpg,"A blonde woman with long, wavy hair and",zoom-in,playful,"black, blonde, white","woman, blonde hair, white dress, smoke, dark background","Based on the dark, misty background and what appear to",bright backlit studio glow,medium close-up face
69,204.037,208.208,4.171,data/processed/frames/frame_00207.jpg,"Two women, one with blonde hair and the other with",handheld,sultry,"brown, gold, black","two women, gold bikinis, earrings,","Based on the image, this scene is **indoor**.",warm golden glow,Medium shot two women
70,208.208,213.13,4.922,data/processed/frames/frame_00211.jpg,"Two women, one with long dark",handheld,Confident/Seductive,"beige, black, brown","two women, concrete wall, cracked pillar, stone background","Based on the image, this scene is **indoor**.",warm golden sunlight,medium close-up shot
71,213.13,215.34,2.211,data/processed/frames/frame_00215.jpg,"A woman with long, dark hair",handheld,joyful,"white, black, grey","woman, long black hair, gold top, unbuttoned jeans, belly button piercing, red nail polish, wall","The scene is indoor.

Setting description: Plain",bright warm light,medium shot waist up
