shot_idx,start_sec,end_sec,duration_sec,mid_frame,caption,camera,emotion,colors,entities,location,lighting,composition
34,96.722,99.725,3.003,data/processed/frames/frame_00099.jpg,A blonde woman in a revealing white outfit stands centered in a,dolly,intense,"white, black, blue","woman, blonde hair, white dress, waterfall, rocks, cave","This scene is **outdoor**.

Setting description: **",bright ethereal backlighting,"Medium shot, centered framing"
35,99.725,101.768,2.044,data/processed/frames/frame_00101.jpg,"A woman with long, wavy blonde hair and dramatic dark eye",zoom-in,neutral,"black, blonde, white","woman, blonde hair, eyes, lips, white clothing, dark background, light flare","Based on the image, this scene is **indoor**.",bright cool backlighting,Close-up portrait shot
36,101.768,106.648,4.88,data/processed/frames/frame_00105.jpg,A blonde woman in a gold bikini and a long,handheld,confident,"white, tan, yellow","woman, bikini, necklace, walls, yellow nail polish","This scene is indoor.

Brightly lit studio",bright golden backlight,medium shot waist up
37,106.648,108.358,1.71,data/processed/frames/frame_00108.jpg,"A woman with long, dark hair stands with her back",handheld,neutral,"white, black, grey","woman, long dark hair, gold top, unbuttoned jeans, wall, shadows","Based on the image, this scene",warm golden glow,medium waist-up shot
38,108.358,111.695,3.337,data/processed/frames/frame_00111.jpg,"Two women pose confidently in a sandy, desert-",static,confident,"beige, brown, black","two women, bikini tops, pants, sand, dry branches, wall, square openings","Based on the image, this scene is **indoor**.",Bright warm golden light,Medium shot of subjects
39,111.695,113.322,1.627,data/processed/frames/frame_00113.jpg,Two people are silhouetted as they dance,dolly,joyful,"yellow, brown, black","man, woman, wall, light, holes, grid openings","This scene is indoor.

Setting description: **",warm golden backlighting,wide backlit silhouette shot
40,113.322,121.58,8.258,data/processed/frames/frame_00118.jpg,"Two women, one with long dark",static,sensual performance,"tan, gold, brown","woman with dark hair, woman with blonde hair, bikini tops","This scene is indoor.

Setting description",warm golden interior lighting,medium full shot subjects
41,121.58,122.873,1.293,data/processed/frames/frame_00123.jpg,A woman with long dark hair in a light-colored outfit,static,intense,"beige, brown, black","woman, sand, walls, lattice window, branches, wooden beams","This scene is indoor.

Setting description: **Sun",Bright desert sunlight interior,wide shot centered subject
42,122.873,130.839,7.966,data/processed/frames/frame_00127.jpg,A woman with long hair is silhouetted,dolly,confident,"brown, yellow, black","woman, wall, square openings, light, room","This scene is indoor.

**Setting description:** Silhouette against",warm golden backlighting,backlit medium silhouette shot
43,130.839,133.008,2.169,data/processed/frames/frame_00132.jpg,"A woman in a short, dark dress and tall brown",dolly,neutral,"black, white, brown","woman, dress, boots, bracelet, cave, rocks, light","This scene is **indoor** (specifically, inside a cave",bright backlit cave opening,Wide full body shot
44,133.008,135.385,2.377,data/processed/frames/frame_00135.jpg,"A woman with long blonde hair and a bare torso stands with her arms raised in a room with light-colored walls. She is wearing tan, textured pants and appears to be in motion or posing.",pan,Confident or energetic.,"beige, brown, white","woman, bikini top, fringed pants, wall","This scene is indoor.

Setting description: Plain indoor room",Dim warm interior light.,medium wide shot
45,135.385,138.096,2.711,data/processed/frames/frame_00137.jpg,A woman in a dark dress and gold jewelry sits posed,zoom-in,confident,"black, white, brown","woman, cave, rocks, water, dress","This scene is **indoor** (specifically, inside a cave",Dramatic cave spotlight.,wide full body shot
46,138.096,139.431,1.335,data/processed/frames/frame_00139.jpg,"A woman with long, dark hair and a",zoom-in,contemplative,"beige, white, brown","woman, tree branch, sand, concrete walls, breeze block window, bright light","This scene is indoor.

**Setting description:** Sandy,",Bright hazy golden light,medium full shot center-framed
47,139.431,143.101,3.67,data/processed/frames/frame_00142.jpg,Two topless women stand with their backs to the camera,handheld,confident or powerful,"yellow, black, brown","Two women, grid wall, light, pants, concrete room, holes","This scene is **indoor**.

Setting",warm golden backlighting,low-angle full shot silhouette
48,143.101,144.478,1.376,data/processed/frames/frame_00144.jpg,"A woman with wet, dark hair is captured in a warm",tilt,neutral,"brown, gold, black","person, hair, arm, gold top, rock","This scene is indoor.

Setting description: Dim",Warm golden hazy glow.,extreme close-up torso shot
49,144.478,147.522,3.045,data/processed/frames/frame_00147.jpg,"A person with long, dark, flowing",```handheld```,joyful,"black, gold, brown","person, arm, glitter, hair, gold dress, background lights","This scene is indoor.

Setting description",warm golden glow,Close-up arm and shoulder
50,147.522,149.775,2.252,data/processed/frames/frame_00149.jpg,"A woman with long, dark hair and shimmering skin looks over",zoom-in,Sultry or confident.,"gold, black, brown","woman, long dark hair, rock wall, glitter","Based on the image, this scene appears to be",warm golden glow,Over-shoulder medium close-up
51,149.775,154.488,4.713,data/processed/frames/frame_00153.jpg,A woman with long black hair and side braids poses against,handheld,sensual,"white, black, tan","woman, bikini top, jeans, long hair, wall","Based on the image, this scene is **outdoor",Bright warm natural light,medium shot of woman
52,154.488,155.864,1.376,data/processed/frames/frame_00156.jpg,"A woman with long, dark hair and a gold bandeau",static,sultry intense,"brown, tan, black","woman, long dark hair, gold top, grid wall, branches, sand, fringed fabric","This scene is indoor.

Setting description: Sandy",Warm golden backlighting,"Medium shot, centered subject"
53,155.864,159.743,3.879,data/processed/frames/frame_00158.jpg,"A woman with long, dark, wavy hair speckled with glitter",zoom-in,intense gaze,"black, brown, yellow","woman, hair, cave wall, shadow, light source","This scene is indoor.

Setting description: Dimly",Dramatic warm golden backlighting,medium close-up portrait
54,159.743,161.078,1.335,data/processed/frames/frame_00161.jpg,A silhouetted woman stands inside a,pan,"energetic, intense","black, white, blue","woman, cave, rocks, waterfall, light,",This scene is **indoor** (inside a cave,Dramatic cool backlighting,Wide shot cave silhouette
55,161.078,162.579,1.501,data/processed/frames/frame_00162.jpg,"Two women, one with long blonde hair and the other with",pan,confident performance,"beige, white, brown","woman with blonde hair, woman with dark hair, wall with","This scene is indoor.

Setting description: Ru",warm golden backlighting,wide full body shot
56,162.579,172.047,9.468,data/processed/frames/frame_00168.jpg,A silhouetted figure with long hair stands at the,dolly,contemplative,"black, white, grey","woman, cave, water, rocks, light, mist","This scene is **indoor**.

**Setting description:**",Dramatic backlit cave light,Wide shot cave silhouette
57,172.047,173.423,1.376,data/processed/frames/frame_00173.jpg,"Two women with long, wavy hair pose",zoom-in,confident or sensual,"beige, black, white","two women, bikini top, pants, wall, hair","This scene is indoor.

**Setting description:** Minimal",Soft warm golden light,"Medium shot, waist up."
58,173.423,174.925,1.501,data/processed/frames/frame_00175.jpg,"A woman with long, dark wavy hair gazes",handheld,confident,"black, brown, white","woman, hair, shoulder, hand, background wall, light openings","Based on the image, this scene is **indoor",warm golden backlight,close-up face and shoulder
59,174.925,177.594,2.669,data/processed/frames/frame_00177.jpg,"A woman with dark, wind-swept hair looks back",static,seductive,"black, tan, white","woman, hair, face, tongue, shoulder, wall, light","This scene is indoor.

Setting description: Brightly",Bright golden backlighting,close-up face and shoulder
60,177.594,179.596,2.002,data/processed/frames/frame_00179.jpg,A woman with dark hair and long pink nails looks intensely over,handheld,angry,"black, brown, beige","woman, hair, face, shoulder, hand, pink nails, background wall","Based on the lighting and background, this scene is",harsh warm direct sunlight,"This is accurate.
    *   """
61,179.596,181.973,2.377,data/processed/frames/frame_00181.jpg,"A woman with long, dark, wavy hair and",handheld,confident,"black, brown, beige","woman, hair, earring, clothing, wall, light patterns","This scene is indoor.

Setting description:",warm golden studio light,close-up head and shoulders shot
62,181.973,183.392,1.418,data/processed/frames/frame_00183.jpg,"A woman with long dark hair, wearing a short dark",dolly,contemplative,"black, white, brown","woman, dress, boots, cave, rocks, waterfall, light source","This scene is indoor.

Setting","Moody, high-contrast cave lighting","Accurate.
    *   ""Wide shot of woman"
63,183.392,185.519,2.127,data/processed/frames/frame_00185.jpg,"A woman with long, dark hair stands in silhouette within a",dolly,neutral,"brown, black, orange","woman, cave walls, fire, waterfall","This scene is indoor.

Setting description:",warm golden backlighting,medium shot backlit silhouette
64,185.519,189.981,4.463,data/processed/frames/frame_00188.jpg,A silhouetted figure with long hair is captured in,static,joyful,"brown, yellow, black","person, wall, light, openings, holes, floor","Based on the image, this scene is",backlit golden silhouette,Full body silhouette shot
65,189.981,191.817,1.835,data/processed/frames/frame_00191.jpg,A blonde woman in a tan bikini top and,handheld,joyful,"beige, white, yellow","woman, blonde hair, bikini top, bikini bottom, wall with openings, branches, background wall","This scene is indoor.

Setting description: Sandy stone room",Bright warm golden light,Medium shot of woman
66,191.817,198.949,7.132,data/processed/frames/frame_00196.jpg,"A woman with long, backlit hair",tilt,joyful,"black, white, blue","woman, waterfall, rocks, water spray, white dress","This scene is outdoor.

Setting",bright cool backlighting,Medium silhouette waterfall shot
67,198.949,200.492,1.543,data/processed/frames/frame_00200.jpg,Two people are dancing closely together in a dimly lit,handheld,passionate,"tan, black, beige","people, dark pants, patterned pants, hands, yellow fingernails, wall","This scene is indoor.

Setting",Soft warm golden glow,close-up midsection shot
68,200.492,204.037,3.545,data/processed/frames/frame_00203.jpg,"A woman in a flowing, light-colored bodysuit stands",pan,contemplative,"beige, white, brown","woman, dress, wall, openings, log, light, floor","Based on the image, this scene is **",bright hazy golden light,full body wide shot
69,204.037,208.208,4.171,data/processed/frames/frame_00207.jpg,"A person with long, dark, wavy hair and an open",handheld,passionate,"black, gold, brown","woman, long dark hair, open mouth, gold choker, sparkles, background texture","This scene is indoor.

Setting description: Dark",warm golden glow,Close-up face and neck
70,208.208,213.13,4.922,data/processed/frames/frame_00211.jpg,"Two women dance closely together in a rustic, sunlit",pan,passionate energy,"beige, black, yellow","Woman with dark hair, woman with blonde hair, yellow","This scene is indoor.

Setting description: Weathered,",warm golden sunlight,medium shot of two women
71,213.13,215.34,2.211,data/processed/frames/frame_00215.jpg,"The image features the stylized text ""A*POP"" in",static,No people.,"black, pink, white","""A*POP"" text, letter A, star symbol, letter P, letter O, black background","This scene is indoor.

Setting description: Pink",vibrant pink highlights contrast,Centered graphic on black.
